source_name,file_name,url,date_downloaded,source_id,organization,document_title,publication_date
IP India,"Patents Act, 1970.pdf",https://ipindia.gov.in/storage/uploads/docs-operator/73b5bf10-b04e-4f45-abef-87ff117315dc.pdf,25-08-2026 00:00,IPINDIA_1,IP India,"Patents Act, 1970",
CDSCO,India_Drugs_and_Cosmetics_Act_1940.pdf,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=OTIyNw==,26-08-2026,CDSCO_2,CDSCO,India Drugs and Cosmetics Act 1940,
CDSCO,India_Drugs_Rules_1945_Current_2024.pdf,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2022/drug_rules/Drugs%20Rules%201945_2024%2009.pdf,26-08-2026,CDSCO_3,CDSCO,India Drugs Rules 1945 Current 2024,
CCRAS,India_AYUSH_Labelling_Advertising_Advisory_2024.pd,https://ccras.nic.in/wp-content/uploads/2024/11/Advisory.pdf,26-08-2026,CCRAS_4,CCRAS,India AYUSH Labelling Advertising Advisory 2024.pd,
IP India, Patents_Act_1970.pdf,https://ipindia.gov.in/acts/patent-rules-2003,26-08-2026,IPINDIA_5,IP India,Patents Act 1970,
IP India,Patents_Rules_2003.pdf,https://ipindia.gov.in/storage/uploads/docs-operator/335e2746-58c1-4b56-a1e5-cdd172a92a3c.pdf,26-08-2026,IPINDIA_6,IP India,Patents Rules 2003,
IP India,AYUSH_Related_Inventions_Guidelines_2025.pdf,https://www.ipindia.gov.in/frontend/pdf/patents/guidelines/Guidelines%20for%20Processing%20of%20Patent%20Applications%20relating%20to%20Traditional%20Knowledge%20and%20Biological%20Material%20-%202012.pdf,26-08-2026,IPINDIA_7,IP India,AYUSH Related Inventions Guidelines 2025,
IP India,India_TK_Biological_Material_Patent_Guidelines_2012.pdf,https://ipindia.gov.in/frontend/pdf/patents/guidelines/Guidelines%20for%20examination%20of%20patent%20applications%20in%20the%20field%20of%20Pharmaceuticals%20-%202014.pdf,26-08-2026,IPINDIA_8,IP India,India TK Biological Material Patent Guidelines 2012,
IP India,India_Pharmaceutical_Patent_Guidelines_2014.pdf,https://www.ipindia.gov.in/frontend/pdf/patents/guidelines/Guidelines%20for%20Examination%20of%20Biotechnology%20Applications%20for%20Patent%20-%202013.pdf,26-08-2026,IPINDIA_9,IP India,India Pharmaceutical Patent Guidelines 2014,
IP India,India_Biotechnology_Patent_Guidelines_2013.pdf,https://ipindia.gov.in/storage/uploads/docs-operator/e1adfe40-7af3-4180-ba04-2e0099c6dca5.pdf,26-08-2026,IPINDIA_10,IP India,India Biotechnology Patent Guidelines 2013,
IP India,India_Manual_Patent_Office_Practice_Procedure_2019,https://ipindia.gov.in/pages/patents/pct-isa-ipea,26-08-2026,IPINDIA_11,IP India,India Manual Patent Office Practice Procedure 2019,
